1,7:51,16:39
2,7:51,16:40
3,7:51,16:41
4,7:51,16:42
5,7:51,16:43
6,7:51,16:44
7,7:51,16:45
8,7:50,16:46
9,7:50,16:47
10,7:50,16:49
11,7:49,16:50
12,7:49,16:51
13,7:48,16:52
14,7:48,16:54
15,7:47,16:55
16,7:47,16:56
17,7:46,16:57
18,7:45,16:59
19,7:45,17:00
20,7:44,17:01
21,7:43,17:03
22,7:42,17:04
23,7:41,17:06
24,7:40,17:07
25,7:39,17:08
26,7:38,17:10
27,7:37,17:11
28,7:36,17:13
29,7:35,17:14
30,7:34,17:16
31,7:33,17:17
32,7:32,17:18
33,7:31,17:20
34,7:29,17:21
35,7:28,17:23
36,7:27,17:24
37,7:25,17:26
38,7:24,17:27
39,7:23,17:29
40,7:21,17:30
41,7:20,17:32
42,7:18,17:33
43,7:17,17:35
44,7:15,17:36
45,7:14,17:37
46,7:12,17:39
47,7:11,17:40
48,7:09,17:42
49,7:08,17:43
50,7:06,17:45
51,7:04,17:46
52,7:03,17:48
53,7:01,17:49
54,6:59,17:50
55,6:58,17:52
56,6:56,17:53
57,6:54,17:55
58,6:52,17:56
59,6:51,17:57
60,6:49,17:59
61,6:47,18:00
62,6:45,18:01
63,6:44,18:03
64,6:42,18:04
65,6:40,18:06
66,6:38,18:07
67,6:36,18:08
68,6:34,18:10
69,6:32,18:11
70,6:31,18:12
71,6:29,18:14
72,6:27,18:15
73,6:25,18:16
74,6:23,18:18
75,6:21,18:19
76,6:19,18:20
77,6:17,18:22
78,6:16,18:23
79,6:14,18:24
80,6:12,18:26
81,6:10,18:27
82,6:08,18:28
83,6:06,18:29
84,6:04,18:31
85,6:02,18:32
86,6:00,18:33
87,5:58,18:35
88,5:57,18:36
89,5:55,18:37
90,5:53,18:39
91,5:51,18:40
92,5:49,18:41
93,5:47,18:42
94,5:45,18:44
95,5:43,18:45
96,5:42,18:46
97,5:40,18:48
98,5:38,18:49
99,5:36,18:50
100,5:34,18:51
101,5:32,18:53
102,5:31,18:54
103,5:29,18:55
104,5:27,18:57
105,5:25,18:58
106,5:23,18:59
107,5:22,19:00
108,5:20,19:02
109,5:18,19:03
110,5:17,19:04
111,5:15,19:06
112,5:13,19:07
113,5:11,19:08
114,5:10,19:09
115,5:08,19:11
116,5:07,19:12
117,5:05,19:13
118,5:03,19:15
119,5:02,19:16
120,5:00,19:17
121,4:59,19:18
122,4:57,19:20
123,4:56,19:21
124,4:55,19:22
125,4:53,19:23
126,4:52,19:25
127,4:50,19:26
128,4:49,19:27
129,4:48,19:28
130,4:46,19:30
131,4:45,19:31
132,4:44,19:32
133,4:43,19:33
134,4:41,19:34
135,4:40,19:35
136,4:39,19:37
137,4:38,19:38
138,4:37,19:39
139,4:36,19:40
140,4:35,19:41
141,4:34,19:42
142,4:33,19:43
143,4:32,19:44
144,4:31,19:45
145,4:31,19:46
146,4:30,19:47
147,4:29,19:48
148,4:28,19:49
149,4:28,19:50
150,4:27,19:51
151,4:26,19:52
152,4:26,19:53
153,4:25,19:54
154,4:25,19:54
155,4:24,19:55
156,4:24,19:56
157,4:24,19:57
158,4:23,19:57
159,4:23,19:58
160,4:23,19:59
161,4:22,19:59
162,4:22,20:00
163,4:22,20:00
164,4:22,20:01
165,4:22,20:01
166,4:22,20:02
167,4:22,20:02
168,4:22,20:02
169,4:22,20:03
170,4:22,20:03
171,4:22,20:03
172,4:23,20:04
173,4:23,20:04
174,4:23,20:04
175,4:23,20:04
176,4:24,20:04
177,4:24,20:04
178,4:25,20:04
179,4:25,20:04
180,4:26,20:04
181,4:26,20:04
182,4:27,20:03
183,4:27,20:03
184,4:28,20:03
185,4:29,20:03
186,4:29,20:02
187,4:30,20:02
188,4:31,20:01
189,4:31,20:01
190,4:32,20:00
191,4:33,20:00
192,4:34,19:59
193,4:35,19:59
194,4:36,19:58
195,4:37,19:57
196,4:37,19:56
197,4:38,19:56
198,4:39,19:55
199,4:40,19:54
200,4:41,19:53
201,4:42,19:52
202,4:43,19:51
203,4:44,19:50
204,4:46,19:49
205,4:47,19:48
206,4:48,19:47
207,4:49,19:46
208,4:50,19:45
209,4:51,19:44
210,4:52,19:42
211,4:53,19:41
212,4:54,19:40
213,4:56,19:39
214,4:57,19:37
215,4:58,19:36
216,4:59,19:35
217,5:00,19:33
218,5:01,19:32
219,5:03,19:30
220,5:04,19:29
221,5:05,19:27
222,5:06,19:26
223,5:07,19:24
224,5:09,19:23
225,5:10,19:21
226,5:11,19:20
227,5:12,19:18
228,5:14,19:16
229,5:15,19:15
230,5:16,19:13
231,5:17,19:11
232,5:18,19:10
233,5:20,19:08
234,5:21,19:06
235,5:22,19:04
236,5:23,19:03
237,5:25,19:01
238,5:26,18:59
239,5:27,18:57
240,5:28,18:56
241,5:29,18:54
242,5:31,18:52
243,5:32,18:50
244,5:33,18:48
